,importance_mean,importance_std
temp_lag_1,0.48486012753198227,0.0
weekofyear,0.036369663912421246,0.0
temp_lag_2,0.02022149670307616,0.0
temp_rolling_min_14,0.00961795956780176,0.0
temp_rolling_max_30,0.006716003360079381,0.0
temp_rolling_mean_30,0.006498384103599042,0.0
temp_rolling_mean_7,0.006069992962707826,0.0
temp_rolling_std_7,0.005135328799935279,0.0
temp_rolling_min_7,0.004758541386288617,0.0
temp_rolling_max_7,0.0033263955032655224,0.0
month,0.0032697337663663006,0.0
day,0.002533907914941458,0.0
temp_rolling_mean_14,0.0002497127091911633,0.0
temp_lag_14,0.00012132291957167585,0.0
is_weekend,0.0,0.0
dayofweek,-0.0006764929752859361,0.0
temp_rolling_std_30,-0.0006810587236026899,0.0
temp_rolling_max_14,-0.0011442871400778598,0.0
temp_rolling_min_30,-0.0012622146059814154,0.0
year,-0.0015156952781656408,0.0
temp_lag_3,-0.0018570293398164628,0.0
temp_rolling_std_14,-0.002688976084841088,0.0
temp_lag_7,-0.004518961646384434,0.0
